madde_no,madde_baslik,token_count,unique_token_count,sentence_count
363,Ana ve baba,54,49,4
364,Herkes,37,34,4
365,Nafaka davası,92,83,7
366,Korun maya muhtaç kişilerin bakımı,28,27,3
367,Aile h,62,52,3
368,Birlikte yaşayan kimseler evin düzenine t,54,50,5
369,Ev başkanı,82,66,4
370,Ana ve baba veya büyük ana ve baba ile birl ikte y aşayan ve emeklerini ya da gelirlerini aileye özgüleyen ergin altsoylar,41,36,3
371,Altsoy,56,48,5
372,Aile bireylerinin eğitim ve öğrenimleri,61,55,4
373,Hısımlar,42,36,3
375,Aile malları ortaklığı,95,81,7
377,Aile mall arı ortaklığı,27,26,3
378,Ortaklar,43,37,4
379,Ortaklar,47,43,4
380,Aşağıdaki h,88,75,4
382,Ortaklardan birinin ölümü h,36,33,3
383,Ortaklık mallarının payla şılması veya ayrılan ortağ ın payının hesaplanması,35,30,3
384,Ortaklar,58,51,3
385,İşletme ve temsili üzerine alan ortak,78,68,4
386,Konutlar,17,17,2
387,Aile yurdu h,55,51,3
388,Alacaklılar ve aile yurdu kurulması yüzünden h akları nın ze delenmesi ihtimali bulunan kişiler,43,42,3
389,Aile yurdu h,77,65,4
390,Bir taşınm azın aile y urdu h,35,33,2
391,Aile yurdu h,33,29,3
392,Malikin,29,27,2
393,Malik borçlarını ödemede acze düşerse,42,39,4
394,Malikin ölümünden sonra aile yurdunun devam edebilmesi,35,32,3
395,Malik sağlığında yurda son verebilir,62,57,4
396,Vesayet organları,15,12,2
397,Kamu vesayeti,27,20,3
398,Vesayet altındaki kişinin menfaatinin haklı gösterdiği,38,34,3
399,Özel vesayet,28,27,2
400,Aile meclisi,31,29,3
401,Aile meclis i üyeleri,21,20,3
402,Aile meclisi görevini yapmadığı veya vesayet altındaki kişinin menfaati gerektirdiği takdird e,31,29,2
403,Vasi,53,48,4
404,Vel,43,41,3
405,Akıl hastalığı veya akıl zayıflığı sebebiyle işlerini göremeyen vey a koru nması ve bakımı için kendisine sürekli yardım gereken ya da başkalarının güvenliğini tehlikeye sokan her ergin kısıtlanır,67,60,3
406,Savurganlığı,143,114,7
408,Yaşlılığı,27,27,2
409,Bir kimse dinl enilmeden savurganlığı,120,103,9
411,Vesayet işlerind e yetk i küçüğün v eya kısıtlının yerleşim yerindeki vesayet dairelerine aittir,17,15,2
412,Vesayet makamının izni olmadıkça vesayet altındaki kişi yerleşim yerin i değiştiremez,38,33,4
413,Vesayet makamı,50,41,4
414,Haklı sebepler engel olmadıkça,41,39,3
415,Haklı sebepler engel olmadıkça,22,22,2
416,Vesayet altına alına n kims enin yerleşim y erinde oturanlardan vasiliğe atananlar,30,29,3
417,Aşağıdaki kişiler vasiliği kabul etmeyebilirle r,55,50,2
418,Aşağıdaki kişiler vasi olamazlar,38,35,2
419,Vesayet makamı,40,38,4
420,Vesayet işleri zorunlu kıldığı takdirde vesayet makamı,39,35,3
421,Atama kararı vasiye hemen tebliğ olunur,74,56,5
422,Vasiliğe atanan kişi,69,61,4
423,Vasiliğe atanan kimse,25,25,2
424,Denetim makamı,30,28,3
425,Atama kararı kesinleşince vesayet makamı vasinin göreve başlaması için gerek li işlemleri yapar,25,25,2
426,Vesayet makamı,67,53,2
427,Vesayet makamı,105,85,2
428,İsteğe bağlı kısıtlama se beplerinden biri varsa,20,19,2
429,Kısıtlanması için yeterli se bep bu lunmamakla beraber koru nması bakımından fiil ehliyetinin sınırlanması gerekli görülen ergin bir kişiye a şağıdaki işlerde görüşü alınmak üzere bir yasal danışman atanır,90,78,3
430,Temsil kayyımı,35,29,3
431,Vasinin atanması usulüne ilişkin kurallar,37,33,3
432,Akıl hastalığı,83,72,5
433,Yerleştirme veya alık oymaya karar verme yet kisi,83,62,4
435,Kuru ma yerleştirilen kişi veya yakınları,35,35,3
436,Koruma amacıyla özgürlüğün kısıtlanması,224,163,11
437,H,74,58,5
438,Vasiliğe atanma kararının ke sinleşmesi üzerine vasi ile v esayet makamının görevlendireceği bir kişi tarafında n,76,64,5
439,Kıymetli evrak,28,27,1
440,Vesayet altındaki kişinin menfaati ger ektirirse değerli şeylerin dışındaki taşınırlar,58,52,5
441,Vesayet altın daki kişinin k endisi veya malvarlığının yönetimi için gerekli olmayan paralar,44,40,3
442,Yeteri kadar güven verici olmayan yatırımlar,28,27,3
